t,type,op,id,kind,source,target,layer,weight,label
2679,EDGE,add,"ny:0,0:16,27",,"px:0,0:16,27","px:0,0:16,28",next-y,1,
2680,NODE,add,"px:0,0:17,28",pixel,,,,0.05359477124183006,"12,12,17"
2681,EDGE,add,"nx:0,0:16,28",,"px:0,0:16,28","px:0,0:17,28",next-x,1,
2682,EDGE,add,"ny:0,0:17,27",,"px:0,0:17,27","px:0,0:17,28",next-y,1,
2683,NODE,add,"px:0,0:18,28",pixel,,,,0.05359477124183006,"12,12,17"
2684,EDGE,add,"nx:0,0:17,28",,"px:0,0:17,28","px:0,0:18,28",next-x,1,
2685,EDGE,add,"ny:0,0:18,27",,"px:0,0:18,27","px:0,0:18,28",next-y,1,
2686,NODE,add,"px:0,0:19,28",pixel,,,,0.07320261437908497,"17,17,22"
2687,EDGE,add,"nx:0,0:18,28",,"px:0,0:18,28","px:0,0:19,28",next-x,1,
2688,EDGE,add,"ny:0,0:19,27",,"px:0,0:19,27","px:0,0:19,28",next-y,1,
2689,NODE,add,"px:0,0:20,28",pixel,,,,0.05359477124183006,"12,12,17"
2690,EDGE,add,"nx:0,0:19,28",,"px:0,0:19,28","px:0,0:20,28",next-x,1,
2691,EDGE,add,"ny:0,0:20,27",,"px:0,0:20,27","px:0,0:20,28",next-y,1,
2692,NODE,add,"px:0,0:21,28",pixel,,,,0.05359477124183006,"12,12,17"
2693,EDGE,add,"nx:0,0:20,28",,"px:0,0:20,28","px:0,0:21,28",next-x,1,
2694,EDGE,add,"ny:0,0:21,27",,"px:0,0:21,27","px:0,0:21,28",next-y,1,
2695,NODE,add,"px:0,0:22,28",pixel,,,,0.05359477124183006,"12,12,17"
2696,EDGE,add,"nx:0,0:21,28",,"px:0,0:21,28","px:0,0:22,28",next-x,1,
2697,EDGE,add,"ny:0,0:22,27",,"px:0,0:22,27","px:0,0:22,28",next-y,1,
2698,NODE,add,"px:0,0:23,28",pixel,,,,0.05359477124183006,"12,12,17"
2699,EDGE,add,"nx:0,0:22,28",,"px:0,0:22,28","px:0,0:23,28",next-x,1,
2700,EDGE,add,"ny:0,0:23,27",,"px:0,0:23,27","px:0,0:23,28",next-y,1,
2701,NODE,add,"px:0,0:24,28",pixel,,,,0.05359477124183006,"12,12,17"
2702,EDGE,add,"nx:0,0:23,28",,"px:0,0:23,28","px:0,0:24,28",next-x,1,
2703,EDGE,add,"ny:0,0:24,27",,"px:0,0:24,27","px:0,0:24,28",next-y,1,
2704,NODE,add,"px:0,0:25,28",pixel,,,,0.05359477124183006,"12,12,17"
2705,EDGE,add,"nx:0,0:24,28",,"px:0,0:24,28","px:0,0:25,28",next-x,1,
2706,EDGE,add,"ny:0,0:25,27",,"px:0,0:25,27","px:0,0:25,28",next-y,1,
2707,NODE,add,"px:0,0:26,28",pixel,,,,0.05359477124183006,"12,12,17"
2708,EDGE,add,"nx:0,0:25,28",,"px:0,0:25,28","px:0,0:26,28",next-x,1,
2709,EDGE,add,"ny:0,0:26,27",,"px:0,0:26,27","px:0,0:26,28",next-y,1,
2710,NODE,add,"px:0,0:27,28",pixel,,,,0.05359477124183006,"12,12,17"
2711,EDGE,add,"nx:0,0:26,28",,"px:0,0:26,28","px:0,0:27,28",next-x,1,
2712,EDGE,add,"ny:0,0:27,27",,"px:0,0:27,27","px:0,0:27,28",next-y,1,
2713,NODE,add,"px:0,0:28,28",pixel,,,,0.08888888888888889,"21,21,26"
2714,EDGE,add,"nx:0,0:27,28",,"px:0,0:27,28","px:0,0:28,28",next-x,1,
2715,EDGE,add,"ny:0,0:28,27",,"px:0,0:28,27","px:0,0:28,28",next-y,1,
2716,NODE,add,"px:0,0:29,28",pixel,,,,0.05359477124183006,"12,12,17"
2717,EDGE,add,"nx:0,0:28,28",,"px:0,0:28,28","px:0,0:29,28",next-x,1,
2718,EDGE,add,"ny:0,0:29,27",,"px:0,0:29,27","px:0,0:29,28",next-y,1,
2719,NODE,add,"px:0,0:30,28",pixel,,,,0.05359477124183006,"12,12,17"
2720,EDGE,add,"nx:0,0:29,28",,"px:0,0:29,28","px:0,0:30,28",next-x,1,
2721,EDGE,add,"ny:0,0:30,27",,"px:0,0:30,27","px:0,0:30,28",next-y,1,
2722,NODE,add,"px:0,0:31,28",pixel,,,,0.05359477124183006,"12,12,17"
2723,EDGE,add,"nx:0,0:30,28",,"px:0,0:30,28","px:0,0:31,28",next-x,1,
2724,EDGE,add,"ny:0,0:31,27",,"px:0,0:31,27","px:0,0:31,28",next-y,1,
2725,NODE,add,"px:0,0:0,29",pixel,,,,0.05359477124183006,"12,12,17"
2726,EDGE,add,"ny:0,0:0,28",,"px:0,0:0,28","px:0,0:0,29",next-y,1,
2727,NODE,add,"px:0,0:1,29",pixel,,,,0.05359477124183006,"12,12,17"
2728,EDGE,add,"nx:0,0:0,29",,"px:0,0:0,29","px:0,0:1,29",next-x,1,
2729,EDGE,add,"ny:0,0:1,28",,"px:0,0:1,28","px:0,0:1,29",next-y,1,
2730,NODE,add,"px:0,0:2,29",pixel,,,,0.05359477124183006,"12,12,17"
2731,EDGE,add,"nx:0,0:1,29",,"px:0,0:1,29","px:0,0:2,29",next-x,1,
2732,EDGE,add,"ny:0,0:2,28",,"px:0,0:2,28","px:0,0:2,29",next-y,1,
2733,NODE,add,"px:0,0:3,29",pixel,,,,0.05359477124183006,"12,12,17"
2734,EDGE,add,"nx:0,0:2,29",,"px:0,0:2,29","px:0,0:3,29",next-x,1,
2735,EDGE,add,"ny:0,0:3,28",,"px:0,0:3,28","px:0,0:3,29",next-y,1,
2736,NODE,add,"px:0,0:4,29",pixel,,,,0.05359477124183006,"12,12,17"
2737,EDGE,add,"nx:0,0:3,29",,"px:0,0:3,29","px:0,0:4,29",next-x,1,
2738,EDGE,add,"ny:0,0:4,28",,"px:0,0:4,28","px:0,0:4,29",next-y,1,
2739,NODE,add,"px:0,0:5,29",pixel,,,,0.05359477124183006,"12,12,17"
