t,type,op,id,kind,source,target,layer,weight,label
3177,NODE,add,"px:900,3220:0,3",pixel,,,,0.32679738562091504,"0,51,199"
3178,EDGE,add,"ny:900,3220:0,2",,"px:900,3220:0,2","px:900,3220:0,3",next-y,1,
3179,NODE,add,"px:900,3220:1,3",pixel,,,,0.3738562091503268,"17,51,218"
3180,EDGE,add,"nx:900,3220:0,3",,"px:900,3220:0,3","px:900,3220:1,3",next-x,1,
3181,EDGE,add,"ny:900,3220:1,2",,"px:900,3220:1,2","px:900,3220:1,3",next-y,1,
3182,NODE,add,"px:900,3220:2,3",pixel,,,,0.41699346405228754,"34,51,234"
3183,EDGE,add,"nx:900,3220:1,3",,"px:900,3220:1,3","px:900,3220:2,3",next-x,1,
3184,EDGE,add,"ny:900,3220:2,2",,"px:900,3220:2,2","px:900,3220:2,3",next-y,1,
3185,NODE,add,"px:900,3220:3,3",pixel,,,,0.45359477124183006,"51,51,245"
3186,EDGE,add,"nx:900,3220:2,3",,"px:900,3220:2,3","px:900,3220:3,3",next-x,1,
3187,EDGE,add,"ny:900,3220:3,2",,"px:900,3220:3,2","px:900,3220:3,3",next-y,1,
3188,NODE,add,"px:900,3220:4,3",pixel,,,,0.48627450980392156,"68,51,253"
3189,EDGE,add,"nx:900,3220:3,3",,"px:900,3220:3,3","px:900,3220:4,3",next-x,1,
3190,EDGE,add,"ny:900,3220:4,2",,"px:900,3220:4,2","px:900,3220:4,3",next-y,1,
3191,NODE,add,"px:900,3220:5,3",pixel,,,,0.5111111111111112,"85,51,255"
3192,EDGE,add,"nx:900,3220:4,3",,"px:900,3220:4,3","px:900,3220:5,3",next-x,1,
3193,EDGE,add,"ny:900,3220:5,2",,"px:900,3220:5,2","px:900,3220:5,3",next-y,1,
3194,NODE,add,"px:900,3220:6,3",pixel,,,,0.530718954248366,"102,51,253"
3195,EDGE,add,"nx:900,3220:5,3",,"px:900,3220:5,3","px:900,3220:6,3",next-x,1,
3196,EDGE,add,"ny:900,3220:6,2",,"px:900,3220:6,2","px:900,3220:6,3",next-y,1,
3197,NODE,add,"px:900,3220:7,3",pixel,,,,0.542483660130719,"119,51,245"
3198,EDGE,add,"nx:900,3220:6,3",,"px:900,3220:6,3","px:900,3220:7,3",next-x,1,
3199,EDGE,add,"ny:900,3220:7,2",,"px:900,3220:7,2","px:900,3220:7,3",next-y,1,
3200,NODE,add,"px:900,3220:8,3",pixel,,,,0.550326797385621,"136,51,234"
3201,EDGE,add,"nx:900,3220:7,3",,"px:900,3220:7,3","px:900,3220:8,3",next-x,1,
3202,EDGE,add,"ny:900,3220:8,2",,"px:900,3220:8,2","px:900,3220:8,3",next-y,1,
3203,NODE,add,"px:900,3220:9,3",pixel,,,,0.5516339869281045,"153,51,218"
3204,EDGE,add,"nx:900,3220:8,3",,"px:900,3220:8,3","px:900,3220:9,3",next-x,1,
3205,EDGE,add,"ny:900,3220:9,2",,"px:900,3220:9,2","px:900,3220:9,3",next-y,1,
3206,NODE,add,"px:900,3220:10,3",pixel,,,,0.5490196078431373,"170,51,199"
3207,EDGE,add,"nx:900,3220:9,3",,"px:900,3220:9,3","px:900,3220:10,3",next-x,1,
3208,EDGE,add,"ny:900,3220:10,2",,"px:900,3220:10,2","px:900,3220:10,3",next-y,1,
3209,NODE,add,"px:900,3220:11,3",pixel,,,,0.542483660130719,"187,51,177"
3210,EDGE,add,"nx:900,3220:10,3",,"px:900,3220:10,3","px:900,3220:11,3",next-x,1,
3211,EDGE,add,"ny:900,3220:11,2",,"px:900,3220:11,2","px:900,3220:11,3",next-y,1,
3212,NODE,add,"px:900,3220:12,3",pixel,,,,0.5333333333333333,"204,51,153"
3213,EDGE,add,"nx:900,3220:11,3",,"px:900,3220:11,3","px:900,3220:12,3",next-x,1,
3214,EDGE,add,"ny:900,3220:12,2",,"px:900,3220:12,2","px:900,3220:12,3",next-y,1,
3215,NODE,add,"px:900,3220:13,3",pixel,,,,0.5228758169934641,"221,51,128"
3216,EDGE,add,"nx:900,3220:12,3",,"px:900,3220:12,3","px:900,3220:13,3",next-x,1,
3217,EDGE,add,"ny:900,3220:13,2",,"px:900,3220:13,2","px:900,3220:13,3",next-y,1,
3218,NODE,add,"px:900,3220:14,3",pixel,,,,0.5124183006535947,"238,51,103"
3219,EDGE,add,"nx:900,3220:13,3",,"px:900,3220:13,3","px:900,3220:14,3",next-x,1,
3220,EDGE,add,"ny:900,3220:14,2",,"px:900,3220:14,2","px:900,3220:14,3",next-y,1,
3221,NODE,add,"px:900,3220:15,3",pixel,,,,0.5032679738562091,"255,51,79"
3222,EDGE,add,"nx:900,3220:14,3",,"px:900,3220:14,3","px:900,3220:15,3",next-x,1,
3223,EDGE,add,"ny:900,3220:15,2",,"px:900,3220:15,2","px:900,3220:15,3",next-y,1,
3224,NODE,add,"px:900,3220:0,4",pixel,,,,0.3738562091503268,"0,68,218"
3225,EDGE,add,"ny:900,3220:0,3",,"px:900,3220:0,3","px:900,3220:0,4",next-y,1,
3226,NODE,add,"px:900,3220:1,4",pixel,,,,0.41699346405228754,"17,68,234"
3227,EDGE,add,"nx:900,3220:0,4",,"px:900,3220:0,4","px:900,3220:1,4",next-x,1,
3228,EDGE,add,"ny:900,3220:1,3",,"px:900,3220:1,3","px:900,3220:1,4",next-y,1,
3229,NODE,add,"px:900,3220:2,4",pixel,,,,0.45359477124183006,"34,68,245"
3230,EDGE,add,"nx:900,3220:1,4",,"px:900,3220:1,4","px:900,3220:2,4",next-x,1,
3231,EDGE,add,"ny:900,3220:2,3",,"px:900,3220:2,3","px:900,3220:2,4",next-y,1,
3232,NODE,add,"px:900,3220:3,4",pixel,,,,0.48627450980392156,"51,68,253"
3233,EDGE,add,"nx:900,3220:2,4",,"px:900,3220:2,4","px:900,3220:3,4",next-x,1,
3234,EDGE,add,"ny:900,3220:3,3",,"px:900,3220:3,3","px:900,3220:3,4",next-y,1,
3235,NODE,add,"px:900,3220:4,4",pixel,,,,0.5111111111111112,"68,68,255"
3236,EDGE,add,"nx:900,3220:3,4",,"px:900,3220:3,4","px:900,3220:4,4",next-x,1,
3237,EDGE,add,"ny:900,3220:4,3",,"px:900,3220:4,3","px:900,3220:4,4",next-y,1,
3238,NODE,add,"px:900,3220:5,4",pixel,,,,0.530718954248366,"85,68,253"
3239,EDGE,add,"nx:900,3220:4,4",,"px:900,3220:4,4","px:900,3220:5,4",next-x,1,
3240,EDGE,add,"ny:900,3220:5,3",,"px:900,3220:5,3","px:900,3220:5,4",next-y,1,
3241,NODE,add,"px:900,3220:6,4",pixel,,,,0.542483660130719,"102,68,245"
3242,EDGE,add,"nx:900,3220:5,4",,"px:900,3220:5,4","px:900,3220:6,4",next-x,1,
3243,EDGE,add,"ny:900,3220:6,3",,"px:900,3220:6,3","px:900,3220:6,4",next-y,1,
3244,NODE,add,"px:900,3220:7,4",pixel,,,,0.550326797385621,"119,68,234"
3245,EDGE,add,"nx:900,3220:6,4",,"px:900,3220:6,4","px:900,3220:7,4",next-x,1,
3246,EDGE,add,"ny:900,3220:7,3",,"px:900,3220:7,3","px:900,3220:7,4",next-y,1,
3247,NODE,add,"px:900,3220:8,4",pixel,,,,0.5516339869281045,"136,68,218"
3248,EDGE,add,"nx:900,3220:7,4",,"px:900,3220:7,4","px:900,3220:8,4",next-x,1,
3249,EDGE,add,"ny:900,3220:8,3",,"px:900,3220:8,3","px:900,3220:8,4",next-y,1,
3250,NODE,add,"px:900,3220:9,4",pixel,,,,0.5490196078431373,"153,68,199"
3251,EDGE,add,"nx:900,3220:8,4",,"px:900,3220:8,4","px:900,3220:9,4",next-x,1,
3252,EDGE,add,"ny:900,3220:9,3",,"px:900,3220:9,3","px:900,3220:9,4",next-y,1,
3253,NODE,add,"px:900,3220:10,4",pixel,,,,0.542483660130719,"170,68,177"
3254,EDGE,add,"nx:900,3220:9,4",,"px:900,3220:9,4","px:900,3220:10,4",next-x,1,
3255,EDGE,add,"ny:900,3220:10,3",,"px:900,3220:10,3","px:900,3220:10,4",next-y,1,
3256,NODE,add,"px:900,3220:11,4",pixel,,,,0.5333333333333333,"187,68,153"
3257,EDGE,add,"nx:900,3220:10,4",,"px:900,3220:10,4","px:900,3220:11,4",next-x,1,
3258,EDGE,add,"ny:900,3220:11,3",,"px:900,3220:11,3","px:900,3220:11,4",next-y,1,
3259,NODE,add,"px:900,3220:12,4",pixel,,,,0.5228758169934641,"204,68,128"
3260,EDGE,add,"nx:900,3220:11,4",,"px:900,3220:11,4","px:900,3220:12,4",next-x,1,
3261,EDGE,add,"ny:900,3220:12,3",,"px:900,3220:12,3","px:900,3220:12,4",next-y,1,
3262,NODE,add,"px:900,3220:13,4",pixel,,,,0.5124183006535947,"221,68,103"
3263,EDGE,add,"nx:900,3220:12,4",,"px:900,3220:12,4","px:900,3220:13,4",next-x,1,
3264,EDGE,add,"ny:900,3220:13,3",,"px:900,3220:13,3","px:900,3220:13,4",next-y,1,
3265,NODE,add,"px:900,3220:14,4",pixel,,,,0.5032679738562091,"238,68,79"
3266,EDGE,add,"nx:900,3220:13,4",,"px:900,3220:13,4","px:900,3220:14,4",next-x,1,
3267,EDGE,add,"ny:900,3220:14,3",,"px:900,3220:14,3","px:900,3220:14,4",next-y,1,
3268,NODE,add,"px:900,3220:15,4",pixel,,,,0.49673202614379086,"255,68,57"
3269,EDGE,add,"nx:900,3220:14,4",,"px:900,3220:14,4","px:900,3220:15,4",next-x,1,
3270,EDGE,add,"ny:900,3220:15,3",,"px:900,3220:15,3","px:900,3220:15,4",next-y,1,
3271,NODE,add,"px:900,3220:0,5",pixel,,,,0.41699346405228754,"0,85,234"
3272,EDGE,add,"ny:900,3220:0,4",,"px:900,3220:0,4","px:900,3220:0,5",next-y,1,
3273,NODE,add,"px:900,3220:1,5",pixel,,,,0.45359477124183006,"17,85,245"
